Running on: cuda:2

Optimizer       | Best Iters   | Best Loss    | Best Params
--------------------------------------------------------------------------------
Starting Grid Search for Muon (160 configs)...
lr: 0.013000000000000001, mom: 0.6, Iters: 5000, Loss: 0.004504
lr: 0.013000000000000001, mom: 0.7, Iters: 5000, Loss: 0.005384
lr: 0.013000000000000001, mom: 0.8, Iters: 5000, Loss: 0.006071
lr: 0.013000000000000001, mom: 0.9, Iters: 5000, Loss: 0.008259
lr: 0.013000000000000001, mom: 0.95, Iters: 5000, Loss: 0.011638
lr: 0.014000000000000002, mom: 0.1, Iters: 5000, Loss: 0.003809
lr: 0.014000000000000002, mom: 0.2, Iters: 5000, Loss: 0.004016
lr: 0.014000000000000002, mom: 0.3, Iters: 5000, Loss: 0.003987
lr: 0.014000000000000002, mom: 0.4, Iters: 5000, Loss: 0.004693
lr: 0.014000000000000002, mom: 0.5, Iters: 5000, Loss: 0.004709
lr: 0.014000000000000002, mom: 0.6, Iters: 5000, Loss: 0.005229
lr: 0.014000000000000002, mom: 0.7, Iters: 5000, Loss: 0.006328
lr: 0.014000000000000002, mom: 0.8, Iters: 5000, Loss: 0.006934
lr: 0.014000000000000002, mom: 0.9, Iters: 5000, Loss: 0.009410
lr: 0.014000000000000002, mom: 0.95, Iters: 5000, Loss: 0.013406
lr: 0.015, mom: 0.1, Iters: 5000, Loss: 0.004409
lr: 0.015, mom: 0.2, Iters: 5000, Loss: 0.004592
lr: 0.015, mom: 0.3, Iters: 5000, Loss: 0.004693
lr: 0.015, mom: 0.4, Iters: 5000, Loss: 0.005359
lr: 0.015, mom: 0.5, Iters: 5000, Loss: 0.005315
lr: 0.015, mom: 0.6, Iters: 5000, Loss: 0.005992
lr: 0.015, mom: 0.7, Iters: 5000, Loss: 0.007341
lr: 0.015, mom: 0.8, Iters: 5000, Loss: 0.008030
lr: 0.015, mom: 0.9, Iters: 5000, Loss: 0.011011
lr: 0.015, mom: 0.95, Iters: 5000, Loss: 0.015458
lr: 0.016, mom: 0.1, Iters: 5000, Loss: 0.004940
lr: 0.016, mom: 0.2, Iters: 5000, Loss: 0.005108
lr: 0.016, mom: 0.3, Iters: 5000, Loss: 0.006162
lr: 0.016, mom: 0.4, Iters: 5000, Loss: 0.005896
lr: 0.016, mom: 0.5, Iters: 5000, Loss: 0.006123
lr: 0.016, mom: 0.6, Iters: 5000, Loss: 0.006813
lr: 0.016, mom: 0.7, Iters: 5000, Loss: 0.008086
lr: 0.016, mom: 0.8, Iters: 5000, Loss: 0.009155
lr: 0.016, mom: 0.9, Iters: 5000, Loss: 0.012428
lr: 0.016, mom: 0.95, Iters: 5000, Loss: 0.017534
lr: 0.017, mom: 0.1, Iters: 5000, Loss: 0.005536
lr: 0.017, mom: 0.2, Iters: 5000, Loss: 0.005799
lr: 0.017, mom: 0.3, Iters: 5000, Loss: 0.006186
lr: 0.017, mom: 0.4, Iters: 5000, Loss: 0.006874
lr: 0.017, mom: 0.5, Iters: 5000, Loss: 0.006819
lr: 0.017, mom: 0.6, Iters: 5000, Loss: 0.007635
lr: 0.017, mom: 0.7, Iters: 5000, Loss: 0.009251
lr: 0.017, mom: 0.8, Iters: 5000, Loss: 0.010368
lr: 0.017, mom: 0.9, Iters: 5000, Loss: 0.013897
lr: 0.017, mom: 0.95, Iters: 5000, Loss: 0.019742
lr: 0.018000000000000002, mom: 0.1, Iters: 5000, Loss: 0.006307
lr: 0.018000000000000002, mom: 0.2, Iters: 5000, Loss: 0.006554
lr: 0.018000000000000002, mom: 0.3, Iters: 5000, Loss: 0.007726
lr: 0.018000000000000002, mom: 0.4, Iters: 5000, Loss: 0.007748
lr: 0.018000000000000002, mom: 0.5, Iters: 5000, Loss: 0.007790
lr: 0.018000000000000002, mom: 0.6, Iters: 5000, Loss: 0.008531
lr: 0.018000000000000002, mom: 0.7, Iters: 5000, Loss: 0.010253
lr: 0.018000000000000002, mom: 0.8, Iters: 5000, Loss: 0.011643
lr: 0.018000000000000002, mom: 0.9, Iters: 5000, Loss: 0.015674
lr: 0.018000000000000002, mom: 0.95, Iters: 5000, Loss: 0.022224
lr: 0.019, mom: 0.1, Iters: 5000, Loss: 0.007039
lr: 0.019, mom: 0.2, Iters: 5000, Loss: 0.007351
lr: 0.019, mom: 0.3, Iters: 5000, Loss: 0.007225
lr: 0.019, mom: 0.4, Iters: 5000, Loss: 0.008646
lr: 0.019, mom: 0.5, Iters: 5000, Loss: 0.008600
lr: 0.019, mom: 0.6, Iters: 5000, Loss: 0.009599
lr: 0.019, mom: 0.7, Iters: 5000, Loss: 0.011629
lr: 0.019, mom: 0.8, Iters: 5000, Loss: 0.012925
lr: 0.019, mom: 0.9, Iters: 5000, Loss: 0.017534
lr: 0.019, mom: 0.95, Iters: 5000, Loss: 0.024772
lr: 0.02, mom: 0.1, Iters: 5000, Loss: 0.007760
lr: 0.02, mom: 0.2, Iters: 5000, Loss: 0.008182
lr: 0.02, mom: 0.3, Iters: 5000, Loss: 0.009021
lr: 0.02, mom: 0.4, Iters: 5000, Loss: 0.009390
lr: 0.02, mom: 0.5, Iters: 5000, Loss: 0.009425
lr: 0.02, mom: 0.6, Iters: 5000, Loss: 0.010698
lr: 0.02, mom: 0.7, Iters: 5000, Loss: 0.012583
lr: 0.02, mom: 0.8, Iters: 5000, Loss: 0.014386
lr: 0.02, mom: 0.9, Iters: 5000, Loss: 0.019304
lr: 0.02, mom: 0.95, Iters: 5000, Loss: 0.027380
==> Muon        | 1155         | 0.000999     | lr: lr=0.007, mom: mom=0.1

Starting Grid Search for SignMuon (90 configs)...
lr: 0.0001, mom: 0.1, Iters: 4010, Loss: 0.000995
  [New Best] lr: 0.0001, mom: 0.1, Iters: 4010, Loss: 0.000995
lr: 0.0001, mom: 0.2, Iters: 3993, Loss: 0.000998
  [New Best] lr: 0.0001, mom: 0.2, Iters: 3993, Loss: 0.000998
lr: 0.0001, mom: 0.3, Iters: 3981, Loss: 0.001000
  [New Best] lr: 0.0001, mom: 0.3, Iters: 3981, Loss: 0.001000
lr: 0.0001, mom: 0.4, Iters: 3976, Loss: 0.000998
  [New Best] lr: 0.0001, mom: 0.4, Iters: 3976, Loss: 0.000998
lr: 0.0001, mom: 0.5, Iters: 3976, Loss: 0.000998
lr: 0.0001, mom: 0.6, Iters: 3990, Loss: 0.000999
lr: 0.0001, mom: 0.7, Iters: 3987, Loss: 0.000997
lr: 0.0001, mom: 0.8, Iters: 4003, Loss: 0.000999
