run_name,optimizer,lr_scaling,lr,epoch,gain_min,gain_median,gain_max
tune_gain_muon,muon,unit-gain,0.015,0,,,
tune_gain_muon,muon,unit-gain,0.015,1,0.17131207883358002,0.7643325328826904,0.944670557975769
tune_gain_muon,muon,unit-gain,0.015,2,0.22260697185993195,0.8690031170845032,1.0904312133789062
tune_gain_muon,muon,unit-gain,0.015,3,0.2670898735523224,0.9089473485946655,1.1234983205795288
tune_gain_muon,muon,unit-gain,0.015,4,0.2951602637767792,0.9416148662567139,1.133997917175293
tune_gain_muon,muon,unit-gain,0.015,5,0.32855862379074097,0.9645582437515259,1.1362498998641968
tune_gain_muon,muon,unit-gain,0.015,6,0.35389506816864014,0.9663203358650208,1.1308341026306152
tune_gain_muon,muon,unit-gain,0.015,7,0.38171371817588806,0.9588525891304016,1.122588038444519
tune_gain_muon,muon,unit-gain,0.015,8,0.40929993987083435,0.9360690712928772,1.1070261001586914
tune_gain_muon,muon,unit-gain,0.015,9,0.4350682497024536,0.9265480637550354,1.0872963666915894
tune_gain_muon,muon,unit-gain,0.015,10,0.4579050540924072,0.9212484359741211,1.0727300643920898
tune_gain_muon,muon,unit-gain,0.015,11,0.4822162091732025,0.9089180827140808,1.045065999031067
tune_gain_muon,muon,unit-gain,0.015,12,0.5029743909835815,0.8944292664527893,1.0254755020141602
tune_gain_muon,muon,unit-gain,0.015,13,0.5204393863677979,0.8782262802124023,1.0032562017440796
tune_gain_muon,muon,unit-gain,0.015,14,0.5378822088241577,0.8612894415855408,0.9833278059959412
tune_gain_muon,muon,unit-gain,0.015,15,0.5484864711761475,0.8452820777893066,0.9650394916534424
tune_gain_muon,muon,unit-gain,0.015,16,0.5606021881103516,0.8303306698799133,0.9486110210418701
tune_gain_muon,muon,unit-gain,0.015,17,0.5683301687240601,0.8189054727554321,0.9367708563804626
tune_gain_muon,muon,unit-gain,0.015,18,0.5733368396759033,0.8107802867889404,0.9279097318649292
tune_gain_muon,muon,unit-gain,0.015,19,0.5764580965042114,0.8063733577728271,0.9227348566055298
tune_gain_muon,muon,unit-gain,0.015,20,0.5773096084594727,0.8051366209983826,0.9213820099830627
tune_gain_muon_e20_t,muon,unit-gain,0.005,0,,,
tune_gain_muon_e20_t,muon,unit-gain,0.005,1,0.20048116147518158,0.35524481534957886,0.4651084542274475
tune_gain_muon_e20_t,muon,unit-gain,0.005,2,0.27704188227653503,0.5048853158950806,0.7241168022155762
tune_gain_muon_e20_t,muon,unit-gain,0.005,3,0.3454059064388275,0.6189734935760498,0.9344379305839539
tune_gain_muon_e20_t,muon,unit-gain,0.005,4,0.4069611430168152,0.7170044183731079,1.0914186239242554
tune_gain_muon_e20_t,muon,unit-gain,0.005,5,0.46353456377983093,0.7985711693763733,1.2362666130065918
tune_gain_muon_e20_t,muon,unit-gain,0.005,6,0.5155141949653625,0.874691367149353,1.3614983558654785
tune_gain_muon_e20_t,muon,unit-gain,0.005,7,0.5795790553092957,0.9461395740509033,1.4806925058364868
tune_gain_muon_e20_t,muon,unit-gain,0.005,8,0.636669397354126,1.0121657848358154,1.589652180671692
tune_gain_muon_e20_t,muon,unit-gain,0.005,9,0.6885295510292053,1.0728886127471924,1.688366174697876
tune_gain_muon_e20_t,muon,unit-gain,0.005,10,0.7451872229576111,1.129712462425232,1.7845377922058105
tune_gain_muon_e20_t,muon,unit-gain,0.005,11,0.7979341745376587,1.1865154504776,1.871381163597107
tune_gain_muon_e20_t,muon,unit-gain,0.005,12,0.8542503714561462,1.2452433109283447,1.968494176864624
tune_gain_muon_e20_t,muon,unit-gain,0.005,13,0.9030278325080872,1.3017456531524658,2.0608913898468018
tune_gain_muon_e20_t,muon,unit-gain,0.005,14,0.9556377530097961,1.3570332527160645,2.1355397701263428
tune_gain_muon_e20_t,muon,unit-gain,0.005,15,1.0024346113204956,1.4109396934509277,2.213033437728882
tune_gain_muon_e20_t,muon,unit-gain,0.005,16,1.0567989349365234,1.4636214971542358,2.277190685272217
tune_gain_muon_e20_t,muon,unit-gain,0.005,17,1.1030211448669434,1.515073299407959,2.3454747200012207
tune_gain_muon_e20_t,muon,unit-gain,0.005,18,1.1461303234100342,1.5659786462783813,2.427769899368286
tune_gain_muon_e20_t,muon,unit-gain,0.005,19,1.1951264142990112,1.6121922731399536,2.4933817386627197
tune_gain_muon_e20_t,muon,unit-gain,0.005,20,1.2337290048599243,1.6568630933761597,2.5474472045898438
