run_name,optimizer,lr_scaling,lr,epoch,gain_min,gain_median,gain_max
tune_gain_signmuon,signmuon,unit-gain,0.034,0,,,
tune_gain_signmuon,signmuon,unit-gain,0.034,1,0.16909559071063995,0.9354767799377441,1.29438316822052
tune_gain_signmuon,signmuon,unit-gain,0.034,2,0.219623863697052,0.9973852038383484,1.3564659357070923
tune_gain_signmuon,signmuon,unit-gain,0.034,3,0.2617432475090027,1.0175501108169556,1.3489240407943726
tune_gain_signmuon,signmuon,unit-gain,0.034,4,0.29694563150405884,1.0341709852218628,1.326657772064209
tune_gain_signmuon,signmuon,unit-gain,0.034,5,0.3334580957889557,1.0439268350601196,1.3004478216171265
tune_gain_signmuon,signmuon,unit-gain,0.034,6,0.3686189353466034,1.048531413078308,1.2612098455429077
tune_gain_signmuon,signmuon,unit-gain,0.034,7,0.40117913484573364,1.0581122636795044,1.242431640625
tune_gain_signmuon,signmuon,unit-gain,0.034,8,0.4330499470233917,1.0459578037261963,1.2098311185836792
tune_gain_signmuon,signmuon,unit-gain,0.034,9,0.4627178907394409,1.0350844860076904,1.1918801069259644
tune_gain_signmuon,signmuon,unit-gain,0.034,10,0.4870384633541107,1.0161917209625244,1.158140778541565
tune_gain_signmuon,signmuon,unit-gain,0.034,11,0.5116751790046692,1.0005475282669067,1.1256777048110962
tune_gain_signmuon,signmuon,unit-gain,0.034,12,0.53192538022995,0.9803507924079895,1.0967463254928589
tune_gain_signmuon,signmuon,unit-gain,0.034,13,0.5496237874031067,0.9445306658744812,1.067920207977295
tune_gain_signmuon,signmuon,unit-gain,0.034,14,0.5651710033416748,0.917283296585083,1.0486036539077759
tune_gain_signmuon,signmuon,unit-gain,0.034,15,0.5792524218559265,0.8939774632453918,1.026694893836975
tune_gain_signmuon,signmuon,unit-gain,0.034,16,0.5869871377944946,0.8707714080810547,1.0056344270706177
tune_gain_signmuon,signmuon,unit-gain,0.034,17,0.5854989290237427,0.851611852645874,0.9876316785812378
tune_gain_signmuon,signmuon,unit-gain,0.034,18,0.5846006274223328,0.8380228281021118,0.9734586477279663
tune_gain_signmuon,signmuon,unit-gain,0.034,19,0.5840542316436768,0.8304458260536194,0.9653953313827515
tune_gain_signmuon,signmuon,unit-gain,0.034,20,0.5838412046432495,0.8283109664916992,0.9631227850914001
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,0,,,
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,1,0.18469172716140747,0.7364239692687988,1.0018937587738037
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,2,0.259123831987381,1.036504864692688,1.5153448581695557
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,3,0.32811465859413147,1.272531509399414,1.9126218557357788
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,4,0.38894122838974,1.4725135564804077,2.243084669113159
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,5,0.4450263977050781,1.6498929262161255,2.5389459133148193
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,6,0.502199113368988,1.8136159181594849,2.8112151622772217
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,7,0.5643500089645386,1.9659309387207031,3.0656683444976807
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,8,0.6159241795539856,2.1095895767211914,3.2879269123077393
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,9,0.673260509967804,2.244225263595581,3.4809629917144775
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,10,0.7208560705184937,2.373213529586792,3.677412748336792
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,11,0.7785934805870056,2.4938931465148926,3.8783059120178223
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,12,0.8281754851341248,2.6102964878082275,4.063912391662598
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,13,0.8775380849838257,2.7226614952087402,4.239828109741211
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,14,0.9337051510810852,2.8296866416931152,4.402933597564697
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,15,0.974219799041748,2.9366183280944824,4.574888706207275
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,16,1.0311799049377441,3.0371813774108887,4.722139835357666
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,17,1.0715157985687256,3.136461019515991,4.847202777862549
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,18,1.1219042539596558,3.2320029735565186,5.0178093910217285
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,19,1.1692383289337158,3.3249223232269287,5.174213409423828
tune_gain_signmuon_e20_t,signmuon,unit-gain,0.011333333333333334,20,1.2183760404586792,3.410348415374756,5.302474498748779
